,production_budget_usd,worldwide_Gross_usd
1311,15000000,4956401
1312,35000000,310332636
1313,32000000,89441732
1314,12000000,21133087
1315,4000000,2793776
1316,30000000,163644662
1317,13000000,5871603
1318,60000000,290701374
1319,18000000,92935067
1320,11900000,81897
1321,65000000,100851897
1322,50000000,27100030
1323,10000000,6197866
1324,7200000,12678312
1325,32000000,16640210
1326,21000000,17396
1327,20000000,10570375
1328,15000000,1954202
1329,9000000,34572780
1330,6500000,10155691
1331,500000,2047570
1332,20000000,150350000
1333,19000000,65090541
1334,13000000,32382381
1335,3250000,7680
1336,10000000,10019109
1337,135000000,361730660
1338,90000000,511358276
1339,70000000,207068340
1340,100000000,212026975
1341,35000000,630779
1342,27000000,4485485
1343,312000,1788168
1344,60000000,36850101
1345,35000000,26613620
1346,30000000,52880016
1347,4500000,5428387
1348,40000000,13508635
1349,30000000,11578022
1350,21000000,17760244
1351,13000000,27151490
1352,10000000,15164492
1353,3000000,9017070
1354,50000000,14271297
1355,23000000,18653615
1356,15000000,1970268
1357,10000000,43948865
1358,105000000,298815224
1359,90000000,87420776
1360,75000000,39251128
1361,37000000,48446802
1362,20000000,6201757
1363,24000000,28871190
1364,60000000,100230832
1365,52000000,47407635
1366,45000000,90523726
1367,40000000,128792135
1368,36000000,14378353
1369,25000000,13038660
1370,24000000,8427204
1371,27000,8231
1372,38000000,73956241
1373,80000000,60507228
1374,4000000,9821335
1375,15000000,12801190
1376,3000000,4142507
1377,1000000,1425707
1378,60000000,14816494
1379,25000,195043
1380,9000000,20035310
1381,7000000,411874
1382,36000000,2954405
1383,15000000,18260865
1384,4000000,185577
1385,33000000,173559438
1386,40000000,51867723
1387,24000000,85527867
1388,23000000,53182088
